n,article,author_class,tier,position_band,position_frac,question
120,"Embassy_of_the_United_Kingdom,_Berlin",anomalous,untiered,lead,0.1533,"What happened to the Embassy of the United Kingdom, Berlin's building following Strousberg's financial collapse?"
121,Council_of_State_(Ireland),normal,,lead,0.3281,What body was originally intended to serve as the collective vice-presidency in the Council of State (Ireland) framework before the presidential commission took over this role?
122,Bobo_Baldé,anomalous,untiered,mid,0.4228,What competition did Bobo Baldé receive a booking in during Celtic's heavy defeat?
123,Santa_Cruz,normal,,lead,0.2415,In which Spanish province is the municipality of Santa Cruz de la Serós located?
124,"Embassy_of_the_United_Kingdom,_Berlin",anomalous,untiered,mid,0.6399,"What type of relationship did the Embassy of the United Kingdom, Berlin aim to build with the German public?"
125,Canada_jay,normal,,late,0.7441,How many food items might a Canada jay store annually using memory-based retrieval?
126,"Embassy_of_the_United_Kingdom,_Berlin",anomalous,untiered,lead,0.2351,"What year did the Embassy of the United Kingdom, Berlin get reoccupied following the 1919 revolution?"
127,Chinghiz_Aitmatov,normal,,mid,0.5462,In which two languages was Chinghiz Aitmatov equally proficient as a native speaker?
128,Victory_(The_Jacksons_album),normal,,mid,0.6142,What is unique about the lineup of brothers featured on Victory (The Jacksons album) compared to other releases in their catalog?
129,Thomas_Moore,normal,,mid,0.3734,What position did Thomas Moore take regarding Daniel O'Connell's approach to Catholic leadership in Ireland?
130,We_Are_Young,normal,,mid,0.4088,On what chart did the Glee rendition of We Are Young first appear at position 12?
131,Casperius_Aelianus,anomalous,untiered,late,0.8421,What river was Casperius Aelianus summoned to by Trajan?
132,MGMT,normal,,late,0.755,What complimentary item did MGMT distribute to those who attended the Pitchblack Playback listening event in London?
133,Newcastle_Knights,normal,,lead,0.3016,What team did the Newcastle Knights defeat in the final round to avoid the wooden spoon?
134,1998–99_Bulgarian_Cup,anomalous,untiered,lead,0.0,What was the score in the 1998–99 Bulgarian Cup final match between the two competing clubs?
135,Salvatore_Ronald_Matano,normal,,late,0.9485,What religious institution does Salvatore Ronald Matano hold a position within?
136,Enzo_Ferrari,normal,,mid,0.4342,What role did Enzo Ferrari's wife play that led to a conflict within the company?
137,MGMT,normal,,mid,0.6319,What influenced the collaborative dynamic of MGMT's creative process?
138,Gian_Maria_Volonté,anomalous,untiered,lead,0.2452,What autobiographical work by Levi inspired the 1979 film featuring Gian Maria Volonté?
139,Ring_of_Nestor,anomalous,untiered,late,0.6996,What did Jack Ogden conclude about the manufacturing technique of the Ring of Nestor after his 1998 examination?
140,Shenyang_Metro,normal,,lead,0.0667,When did the Shenyang Metro first open to the public for service?
141,Conon_(crater),anomalous,untiered,late,0.7236,What method is used to identify Conon (crater)'s satellite craters on lunar maps?
142,Nahj_al-balagha,normal,,mid,0.4208,What type of scholar authored a commentary on Nahj al-balagha while also accepting the sermon's authenticity without claiming the highest level of hadith credibility?
143,Masoretic_Text,normal,,mid,0.6157,What is one proposed explanation for the dots found in the Masoretic Text?
144,Isambard_Kingdom_Brunel,normal,,lead,0.094,What prevented Isambard Kingdom Brunel from being admitted to the École Polytechnique?
145,1982–83_French_Division_1,anomalous,untiered,late,0.8676,What website hosts information about the 1982–83 French Division 1 season?
146,USS_Iowa_(BB-61),normal,,mid,0.5244,What role did USS Iowa (BB-61) serve for Rear Admiral R. E. Libby in autumn 1954?
147,Ring_of_Nestor,anomalous,untiered,mid,0.3496,What did Martin P. Nilsson suggest the creature identified by Evans as a proto-cerberus should be considered in relation to the Ring of Nestor?
148,Archaeoastronomy,normal,,late,0.9648,What journal has published many Archaeoastronomy-related papers over the course of its history?
149,Nancy_Raven,anomalous,untiered,lead,0.2148,What anthropologist did Nancy Raven collaborate with in 1907?
150,Conon_(crater),anomalous,untiered,late,0.9472,What type of map is available for Conon (crater) from the LPI resources?
151,Annie_Besant,normal,,lead,0.2701,What organization's facility did Annie Besant give a speech at the opening of in 1881?
152,"Gladstone,_Oregon",normal,,mid,0.3697,"What ranking did Gladstone, Oregon's Chautauqua Park achieve among permanent assembly parks nationwide?"
153,Min_Xiao-Fen,anomalous,untiered,late,0.8768,What magazine featured an interview with Min Xiao-Fen in August 2008?
154,Adrian_Cheng,normal,,lead,0.2069,What hotel brand did Adrian Cheng's New World acquire in 2011?
155,Qatar_diplomatic_crisis,anomalous,untiered,mid,0.4061,What military equipment deal did the U.S. approve with Qatar during the diplomatic crisis?
156,Cobh,normal,,lead,0.1718,What is the connection between Cobh and the world's oldest yacht club?
157,Ring_of_Nestor,anomalous,untiered,lead,0.0,"What museum currently holds the Ring of Nestor, and in what year did Evans donate it to that institution?"
158,Bronson_Koenig,anomalous,untiered,late,0.8329,What Native American nation does Bronson Koenig belong to?
159,Encke_(crater),anomalous,untiered,lead,0.3194,What causes Encke (crater) to appear bright when sunlight strikes it at a high angle?
160,List_of_Bob_the_Builder_characters,anomalous,untiered,lead,0.0702,"In the List of Bob the Builder characters, what types of tasks does this character perform beyond administrative duties?"
161,Nancy_Raven,anomalous,untiered,mid,0.4396,What was the name of Nancy Raven's child from her first marriage?
162,Bronson_Koenig,anomalous,untiered,mid,0.3603,What was Bronson Koenig's three-point shooting percentage during his senior season?
163,Mitochondria,normal,,lead,0.215,What is the standard free energy value associated with Mitochondria's electron transport chain reactions?
164,UEFA_Conference_League,normal,,lead,0.1431,What competition was reportedly set to launch according to mid-2018 news sources discussing the UEFA Conference League?
165,Archaeoastronomy,normal,,mid,0.3526,"What field of study, including Archaeoastronomy, involves methods that can be highly precise but challenging to apply correctly?"
166,Personal_life_of_Osama_bin_Laden,normal,,mid,0.5305,What reason did a woman give for leaving her lifestyle in the article about the Personal life of Osama bin Laden?
167,Ring_of_Nestor,anomalous,untiered,mid,0.6544,What evidence did John Younger present in 1975 regarding who may have fabricated the Ring of Nestor?
168,Mitochondria,normal,,mid,0.4244,What role does the cytoskeleton play in determining the appearance of Mitochondria?
169,Eurasian_magpie,anomalous,untiered,late,0.961,What impact do Eurasian magpies have on songbird population growth rates?
170,Ring_of_Nestor,anomalous,untiered,late,0.942,What did ultrasound analysis of the Ring of Nestor reveal about its internal structure?
171,Telegraphy,normal,,late,0.9847,What institution holds the Western Union Telegraphy company's historical records?
172,Conon_(crater),anomalous,untiered,mid,0.4627,What is the name of the rille in the Sinus Fidei region that takes its name from the Conon (crater)?
173,Franklin_D._Roosevelt,normal,,mid,0.4502,What was the name of Franklin D. Roosevelt's primary foreign policy approach during his initial term in office?
174,William_O'Brien_(Irish_nationalist_politician),normal,,mid,0.6257,What city did William O'Brien (Irish nationalist politician) travel to in order to recover from illness?
175,Franklin_D._Roosevelt,normal,,late,0.7793,What did Franklin D. Roosevelt attempt to increase taxes on in early 1936?
176,Pipe_organ,normal,,lead,0.1909,"At what point during a church service might a pipe organ have been used to play short interludes, according to 9th-century records?"
177,Red_Dead_Redemption_2,normal,,lead,0.0305,What composer created the original score for Red Dead Redemption 2's soundtrack?
178,Bronson_Koenig,anomalous,untiered,late,0.6895,What was Bronson Koenig's scoring average per game while playing for Grand Rapids?
179,Alex_Kozinski,anomalous,untiered,lead,0.1126,What controversy arose during Alex Kozinski's confirmation process for the Ninth Circuit Court of Appeals?
180,Ultron,normal,,lead,0.044,What ranking has Ultron achieved among villains in Marvel Comics?
181,Ring_of_Nestor,anomalous,untiered,lead,0.1444,"What is the total number of individual figures depicted on the Ring of Nestor's bezel, making it unique among known Aegean Bronze Age signet rings?"
182,Kay_Tagal_Kang_Hinintay,normal,,mid,0.6343,What name does the character adopt in Kay Tagal Kang Hinintay after joining the drug syndicate?
183,Juju_(Finnish_rapper),anomalous,untiered,mid,0.5094,What artists has Juju (Finnish rapper) been a featured guest for on their songs?
184,Deng_Adel,anomalous,untiered,mid,0.5549,What was Deng Adel's highest scoring performance of the season in terms of points?
185,Casperius_Aelianus,anomalous,untiered,late,0.9186,What does historian Sandra Bingham theorize may have happened to Casperius Aelianus instead of execution?
186,Ring_of_Nestor,anomalous,untiered,lead,0.1039,What is the gold purity percentage of the Ring of Nestor?
187,Eric_Harris_and_Dylan_Klebold,normal,,late,0.8752,What role did Eric Harris and Dylan Klebold play in Malcolm Gladwell's threshold model of school shootings?
188,Owl,normal,,lead,0.19,What does v. geodakyan's evolutionary theory suggest about the role of male Owls within a population?
189,Persian_cat,normal,,late,0.6635,What breathing issue can Persian cats experience due to their brachycephalic facial structure?
190,Atmosphere,anomalous,untiered,lead,0.2813,What temperatures does the Atmosphere reach when heated?
191,Noun,normal,,mid,0.4049,What part of speech can appear alongside definite articles?
192,Timeline_of_Mars_Science_Laboratory,normal,,late,0.7539,What is the highest methane concentration ever recorded by the Timeline of Mars Science Laboratory's Curiosity rover during its clay-bearing unit investigation in June 2019?
193,Qatar_diplomatic_crisis,anomalous,untiered,late,0.801,What organization did Qatar file a complaint with during the Qatar diplomatic crisis regarding a nuclear facility in the UAE?
194,Kim_Newman,normal,,late,0.8261,What year did Kim Newman co-author a science fiction and fantasy quotations book with Neil Gaiman?
195,Mortal_Kombat_3,normal,,lead,0.1038,"In Mortal Kombat 3, which two types of uppercuts could trigger a level change?"
196,Nancy_Raven,anomalous,untiered,late,0.9094,What did Nancy Raven do with her land allotment in 1930?
197,Canada_jay,normal,,lead,0.0933,What genus was the Canada jay placed into in 1838?
198,Miss_Universe_1991,normal,,lead,0.3136,In what sequence were contestants presented during the parade of nations at Miss Universe 1991?
199,Casperius_Aelianus,anomalous,untiered,mid,0.4176,What role did Casperius Aelianus hold during Domitian's reign?
200,Bobo_Baldé,anomalous,untiered,late,0.7626,In what year did Bobo Baldé's contract with Celtic come to an end?
